Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Rating_Missing_Flag,Discount Applied_Flag,Subscription Status_Flag,Estimated_Lifetime_Spend,Purchases_Per_Year,Value_Tier,Low_Satisfaction_Flag,Promo_Dependency_Score,Previous_Purchases_TieBreak,Tenure_Censored_Flag,Loyalty_Score_A_Behavioral,Engagement_Depth_Tier,Frequency_Inconsistency_Flag,Loyalty_Score_B_Value_Satisfaction,Customer_Segment,Region
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,14,Venmo,Bi-Weekly,0,1,1,795,26,Silver,1,0.6840120663650076,14.000029692307692,0,0.2712820512820513,Developing,0,0.26647435897435895,Low Priority / At Risk,South
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,2,Cash,Bi-Weekly,0,1,1,192,26,Bronze,1,0.6840120663650076,2.0000051153846155,0,0.03230769230769231,New,0,0.14358974358974358,Low Priority / At Risk,Northeast
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,0,1,1,1752,52,Gold,1,0.6840120663650076,23.00006373076923,0,0.4542307692307692,Developing,0,0.4366666666666667,Low Priority / At Risk,Northeast
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,Weekly,0,1,1,4500,52,Platinum,0,0.6840120663650076,49.000098641025644,0,0.9784615384615385,Veteran,0,0.6925,"Habitual, Not Yet Valuable",Northeast
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,Annually,0,1,1,1568,1,Gold,1,0.6840120663650076,31.000057884615384,0,0.6130769230769231,Established,1,0.3280769230769231,Low Priority / At Risk,West
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,14,Venmo,Weekly,0,1,1,300,52,Bronze,1,0.6840120663650076,14.000009794871795,0,0.2603846153846154,Developing,0,0.12557692307692309,Low Priority / At Risk,West
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,0,1,1,4250,4,Platinum,1,0.6840120663650076,49.00009756410257,0,0.9776923076923076,Veteran,0,0.625576923076923,"Habitual, Not Yet Valuable",West
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,0,1,1,680,52,Silver,1,0.6840120663650076,19.000025756410256,0,0.36294871794871797,Developing,0,0.2665384615384615,Low Priority / At Risk,South
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually,0,1,1,873,1,Silver,1,0.6840120663650076,8.000032794871794,0,0.1635897435897436,New,0,0.18262820512820513,Low Priority / At Risk,South
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,0,1,1,155,4,Bronze,0,0.6840120663650076,4.000003410256411,0,0.06641025641025641,New,0,0.4783974358974359,Low Priority / At Risk,Midwest
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,0,1,1,918,26,Silver,0,0.6840120663650076,26.00003432051282,0,0.5083333333333333,Established,0,0.4948717948717949,Low Priority / At Risk,South
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Bi-Weekly,0,1,1,748,26,Silver,0,0.6840120663650076,10.000028128205129,0,0.19423076923076923,New,0,0.6216025641025641,Low Priority / At Risk,West
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,37,Venmo,Bi-Weekly,0,1,1,2736,26,Platinum,0,0.6840120663650076,37.000083025641025,0,0.7371794871794872,Established,0,0.8175641025641025,Promising New,South
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,0,1,1,1632,52,Gold,0,0.6840120663650076,31.000059948717947,0,0.6139743589743589,Established,0,0.7423717948717948,Low Priority / At Risk,Northeast
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,0,1,1,1855,52,Gold,0,0.6840120663650076,34.00006628205128,0,0.681025641025641,Established,0,0.7740384615384615,Promising New,Northeast
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,0,1,1,729,12,Silver,1,0.6840120663650076,8.000027435897437,0,0.1591025641025641,New,0,0.19442307692307692,Low Priority / At Risk,Northeast
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Bi-Weekly,0,1,1,1620,26,Gold,0,0.6840120663650076,44.00005955128205,0,0.862051282051282,Veteran,0,0.621025641025641,"Habitual, Not Yet Valuable",South
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,0,1,1,1406,4,Gold,0,0.6840120663650076,36.00005269230769,0,0.7091025641025641,Established,0,0.7060897435897435,Low Priority / At Risk,South
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,0,1,1,864,52,Silver,0,0.6840120663650076,17.00003241025641,0,0.3258974358974359,Developing,0,0.5842948717948717,Low Priority / At Risk,West
